,city,idx,url
167,Maspeth,62,http://aqicn.org/city/usa/newyork/maspeth/
168,Eisenhower Park,63,http://aqicn.org/city/usa/newyork/eisenhower-park/
169,Intermediate School,64,http://aqicn.org/city/usa/newyork/is-143/
170,New York,11434,http://aqicn.org/city/usa/newyork/nybg/
171,Division Street,3311,http://aqicn.org/city/usa/newyork/division-street/
172,Public School,3310,http://aqicn.org/city/usa/newyork/ps-274/
173,Fresh Kills,65,http://aqicn.org/city/usa/newyork/fresh-kills-west/
174,Albany County,5100,http://aqicn.org/city/usa/newyork/albany-county-hd/
175,Utica,5101,http://aqicn.org/city/usa/newyork/utica/
176,Buffalo,5102,http://aqicn.org/city/usa/newyork/buffalo/
177,Rochester,5103,http://aqicn.org/city/usa/newyork/rochester/
178,Mt,11435,http://aqicn.org/city/usa/newyork/mt.-ninham/
179,Stillwater,11436,http://aqicn.org/city/usa/newyork/stillwater/
180,Newburgh,5104,http://aqicn.org/city/usa/newyork/newburgh/
181,East Syracuse,11437,http://aqicn.org/city/usa/newyork/east-syracuse/
182,Pinnacle,5105,http://aqicn.org/city/usa/newyork/pinnacle/
183,Rockland County,9151,http://aqicn.org/city/usa/newyork/rockland-county/
184,Public School,5106,http://aqicn.org/city/usa/newyork/ps-19/
185,Peace Bridge,5880,http://aqicn.org/city/usa/newyork/peace-bridge-busti-ave/
186,Tonawanda II,5881,http://aqicn.org/city/usa/newyork/tonawanda-ii/
187,Port Richmond,5882,http://aqicn.org/city/usa/newyork/port-richmond/
188,Morrisania,6906,http://aqicn.org/city/usa/newyork/morrisania/
189,Whiteface Base,9592,http://aqicn.org/city/usa/newyork/whiteface-base/
190,South Albany,9593,http://aqicn.org/city/usa/newyork/south-albany/
191,3rd Avenue,9594,http://aqicn.org/city/usa/newyork/3rd-avenue-albany/
192,Grand Island,9595,http://aqicn.org/city/usa/newyork/grand-island-blvd/
193,Queens Near,9596,http://aqicn.org/city/usa/newyork/queens-near-road/
194,Rochester Near,9597,http://aqicn.org/city/usa/newyork/rochester-near-rd/
195,Buffalo Near,9598,http://aqicn.org/city/usa/newyork/buffalo-near-road/
196,USA,8526,http://aqicn.org/city/usa/new-york/holtsville/
197,USA,8870,http://aqicn.org/city/usa/mexico/colegio-de-bachilleres/
198,USA,8871,http://aqicn.org/city/usa/mexico/universidad-autonoma-de-baja-california/
199,USA,8872,http://aqicn.org/city/usa/mexico/cuajimalpa/
200,USA,8873,http://aqicn.org/city/usa/mexico/chalco/
201,Douglas Red,8390,http://aqicn.org/city/usa/arizona/douglas-red-cross/
202,Nogales Post,8391,http://aqicn.org/city/usa/arizona/nogales-post-office/
203,Alamo Lake,8392,http://aqicn.org/city/usa/arizona/alamo-lake/
204,Children,8393,http://aqicn.org/city/usa/arizona/childrens-park-site/
205,Phoenix JLG,8394,http://aqicn.org/city/usa/arizona/phoenix-jlg-supersite/
206,Yuma Supersite,8395,http://aqicn.org/city/usa/arizona/yuma-supersite/
207,Wylam,7318,http://aqicn.org/city/usa/alabama/wylam/
208,Corner,7319,http://aqicn.org/city/usa/alabama/corner/
209,No,7320,http://aqicn.org/city/usa/alabama/no.-bham/
210,Mcadory,7321,http://aqicn.org/city/usa/alabama/mcadory/
211,Anderson,7322,http://aqicn.org/city/usa/indiana/anderson-eastside-elem.-sch/
212,Evansville,7323,http://aqicn.org/city/usa/indiana/evansville-buena-vista/
213,Indpls ,8699,http://aqicn.org/city/usa/indiana/indpls-i-70-e/
214,Indpls,7324,http://aqicn.org/city/usa/indiana/indpls-washington-park/
215,Bloomington,7325,http://aqicn.org/city/usa/indiana/bloomington/
216,Gary,7326,http://aqicn.org/city/usa/indiana/gary-iitri/
217,Indpls,7327,http://aqicn.org/city/usa/indiana/indpls-w.18th-st/
218,Fivco,7328,http://aqicn.org/city/usa/kentucky/fivco/
219,Jprecc,7329,http://aqicn.org/city/usa/kentucky/jprecc/
220,Newtwn,7330,http://aqicn.org/city/usa/kentucky/newtwn/
221,Lakeville ,7332,http://aqicn.org/city/usa/minnesota/lakeville-near-road/
222,Brainerd,7333,http://aqicn.org/city/usa/minnesota/brainerd/
223,West Duluth,7334,http://aqicn.org/city/usa/minnesota/west-duluth/
224,Minneapolis,7335,http://aqicn.org/city/usa/minnesota/minneapolis-near-road/
225,Minneapolis ,7336,http://aqicn.org/city/usa/minnesota/minneapolis-lyndale/
226,Virginia,7337,http://aqicn.org/city/usa/minnesota/virginia/
227,Detroit Lakes,7338,http://aqicn.org/city/usa/minnesota/detroit-lakes/
228,Grand Portage,7339,http://aqicn.org/city/usa/minnesota/grand-portage/
229,Marshall,7340,http://aqicn.org/city/usa/minnesota/marshall/
230,St,7341,http://aqicn.org/city/usa/minnesota/st.-michael/
231,St,7342,http://aqicn.org/city/usa/minnesota/st.-cloud/
232,Rochester,7343,http://aqicn.org/city/usa/minnesota/rochester/
233,Minneapolis,7344,http://aqicn.org/city/usa/minnesota/minneapolis-phillips/
234,Ely,7345,http://aqicn.org/city/usa/minnesota/ely/
235,Blaine,7346,http://aqicn.org/city/usa/minnesota/blaine/
236,Apple Valley,7347,http://aqicn.org/city/usa/minnesota/apple-valley/
237,St,7348,http://aqicn.org/city/usa/minnesota/st.-paul-harding-h.s./
238,BROADWAY ,7349,http://aqicn.org/city/usa/missouri/broadway-south/
239,Blair Street,7350,http://aqicn.org/city/usa/missouri/blair-street/
240,Ladue,7351,http://aqicn.org/city/usa/missouri/ladue/
241,Blue Ridge,7352,http://aqicn.org/city/usa/missouri/blue-ridge-i-70/
242,Forest Park,7353,http://aqicn.org/city/usa/missouri/forest-park/
243,Arnold,7354,http://aqicn.org/city/usa/missouri/arnold/
244,Liberty,7355,http://aqicn.org/city/usa/missouri/liberty/
245,Missouri State,7356,http://aqicn.org/city/usa/missouri/missouri-state-university/
246,Eldospgs,7582,http://aqicn.org/city/usa/missouri/eldospgs/
247,Troost,7357,http://aqicn.org/city/usa/missouri/troost/
248,Branch Street,7358,http://aqicn.org/city/usa/missouri/branch-street/
249,St,7359,http://aqicn.org/city/usa/missouri/st.-joseph/
250,Rg_south,7360,http://aqicn.org/city/usa/missouri/rg_south/
251,Garinger,7361,http://aqicn.org/city/usa/north-carolina/garinger/
252,Beulah North,7362,http://aqicn.org/city/usa/north-dakota/beulah-north/
253,Ncore,7363,http://aqicn.org/city/usa/nebraska/ncore/
254,Llchd Bam,7364,http://aqicn.org/city/usa/nebraska/llchd-bam/
255,Moore,7365,http://aqicn.org/city/usa/oklahoma/moore/
256,Glenpool,7366,http://aqicn.org/city/usa/oklahoma/glenpool/
257,McAlester,7367,http://aqicn.org/city/usa/oklahoma/mcalester/
258,Burneyville,7368,http://aqicn.org/city/usa/oklahoma/burneyville/
259,Seiling,7369,http://aqicn.org/city/usa/oklahoma/seiling/
260,Lawton North,7370,http://aqicn.org/city/usa/oklahoma/lawton-north/
261,Tulsa,7371,http://aqicn.org/city/usa/oklahoma/tulsa/
262,Riverside,7372,http://aqicn.org/city/usa/tennessee/riverside/
263,Burlington,7373,http://aqicn.org/city/usa/vermont/burlington/
264,Bennington,7374,http://aqicn.org/city/usa/vermont/bennington/
265,Rutland,7375,http://aqicn.org/city/usa/vermont/rutland/
266,Underhill,7376,http://aqicn.org/city/usa/vermont/underhill/
267,Moundsville,7377,http://aqicn.org/city/usa/west-virginia/moundsville/
268,Hoover,7378,http://aqicn.org/city/usa/alabama/hoover/
269,Montg,7379,http://aqicn.org/city/usa/alabama/montg/
270,Adeq,7380,http://aqicn.org/city/usa/arkansas/adeq-dsr/
271,Sprngdle,7381,http://aqicn.org/city/usa/arkansas/sprngdle/
272,Marion,7382,http://aqicn.org/city/usa/arkansas/marion/
273,Parr,7383,http://aqicn.org/city/usa/arkansas/parr/
274,El Dorado,7384,http://aqicn.org/city/usa/arkansas/el-dorado/
275,Killens,7392,http://aqicn.org/city/usa/delaware/killens/
276,Seaford,7393,http://aqicn.org/city/usa/delaware/seaford/
277,Chi_com,7394,http://aqicn.org/city/usa/illinois/chi_com/
278,Bondville,7638,http://aqicn.org/city/usa/illinois/bondville/
279,Peoria_j,7395,http://aqicn.org/city/usa/illinois/peoria_j/
280,Gc_mad,7396,http://aqicn.org/city/usa/illinois/gc_mad/
281,Chi_sp,7397,http://aqicn.org/city/usa/illinois/chi_sp/
